id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
407,3,"1, 2, 5",1,1,0,0,1,0,2,"2, 3, 4",3,4,4,4,4,4,4,2,3,2,1,1,0,0,0,,0,23,10,4,1,1,1,10,1,1
408,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3, 4",4,3,3,3,4,4,4,3,4,3,"1, 4",2,1,0,0,1,0,26,10,5,5,2,4,10,3,1
409,2,"1, 2, 6",1,1,0,0,0,1,2,"1, 2, 3, 4",4,4,5,1,4,3,4,3,4,1,1,1,1,0,0,1,0,27,10,5,4,4,1,10,1,1
410,2,"1, 5",1,0,0,0,1,0,1,4,1,4,4,1,5,1,1,4,5,4,3,1,1,1,0,,0,38,11,4,5,2,1,10,1,1
411,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3, 4",4,5,4,1,5,5,4,3,2,5,4,1,1,0,0,0,0,35,4,6,5,2,3,9,1,4
412,3,"1, 2, 5",1,1,0,0,1,0,3,"1, 2, 3, 4",4,5,5,3,5,1,3,2,5,5,1,1,1,0,0,1,0,25,7,4,5,2,3,7,2,1
413,2,"1, 5",1,0,0,0,1,0,1,"1, 2",2,5,5,5,5,4,2,3,4,3,3,1,1,0,0,0,0,28,9,5,5,2,4,7,2,2
414,2,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 4",3,3,4,2,5,3,2,3,3,3,1,1,0,0,0,0,0,33,9,4,5,2,3,8,1,1
415,1,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 3, 4",4,5,4,3,5,3,2,3,3,2,1,1,0,0,0,,1,61,13,5,4,2,1,13,1,1
416,3,"1, 2, 5",1,1,0,0,1,0,3,"1, 4",2,4,4,1,5,3,4,4,5,4,3,1,1,0,0,,0,29,10,4,7,3,3,10,1,4
417,2,"1, 5",1,0,0,0,1,0,2,2,1,5,4,4,5,3,4,3,4,3,1,1,1,1,0,1,0,25,9,5,1,2,4,9,3,1
418,1,"1, 2",1,1,0,0,0,0,2,"2, 4",2,1,4,3,3,4,4,4,3,3,2,1,0,0,0,,0,35,8,4,5,2,3,8,1,1
419,2,"1, 5",1,0,0,0,1,0,2,"1, 2, 3",3,5,5,5,5,3,4,4,4,3,3,1,0,0,0,1,0,29,1,4,4,2,1,13,1,1
420,1,2,0,1,0,0,0,0,2,"2, 3, 4",3,4,4,1,4,3,2,2,3,4,2,1,1,0,0,1,0,46,7,5,5,2,1,7,1,1
421,2,1,1,0,0,0,0,0,2,4,1,4,4,4,4,3,4,4,3,1,2,1,0,0,0,0,1,29,10,4,4,3,2,10,1,1
422,2,6,0,0,0,0,0,1,2,"1, 4",2,3,4,2,5,5,4,1,3,1,2,1,0,0,0,0,0,26,7,4,5,2,3,7,2,1
423,2,6,0,0,0,0,0,1,1,1,1,4,4,1,3,4,4,3,3,1,2,1,0,0,0,0,1,27,14,4,5,2,3,14,1,1
424,3,2,0,1,0,0,0,0,3,2,1,5,5,5,4,4,2,4,4,3,1,1,0,0,0,0,0,28,8,4,4,4,5,15,1,1
425,1,2,0,1,0,0,0,0,2,2,1,1,5,1,1,1,1,1,1,1,2,1,0,0,0,0,0,45,10,4,5,2,1,10,1,4
426,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"1, 2, 3, 4",4,3,2,2,5,4,4,4,5,5,3,1,1,0,0,1,0,28,10,4,5,2,3,10,3,2
427,2,"1, 5, 6",1,0,0,0,1,1,2,"3, 4",2,3,4,1,5,4,1,4,3,1,1,1,1,0,0,0,1,23,9,4,4,2,1,10,3,4
428,2,"1, 2",1,1,0,0,0,0,2,1,1,5,5,5,5,4,4,4,5,5,3,1,0,0,0,1,0,50,8,4,7,3,4,8,3,3
429,2,"1, 2, 5, 6",1,1,0,0,1,1,2,"1, 2, 3, 4",4,4,4,2,5,5,4,5,5,5,4,1,1,1,1,1,1,29,4,4,4,2,3,4,2,3
430,2,"1, 4, 5",1,0,0,1,1,0,1,"1, 2, 3, 4",4,5,3,1,3,4,3,3,4,5,1,1,1,0,0,0,0,30,10,4,4,2,1,10,1,1
431,3,5,0,0,0,0,1,0,3,2,1,3,3,4,3,3,3,3,5,3,2,1,1,0,0,,0,29,8,5,3,1,1,13,1,1
432,2,"1, 2, 5",1,1,0,0,1,0,1,"2, 3",2,4,5,2,3,1,3,1,1,1,2,1,1,0,0,0,0,39,9,5,5,2,3,9,1,1
433,3,5,0,0,0,0,1,0,2,1,1,5,4,3,5,2,5,3,5,5,1,1,1,1,0,0,0,23,10,4,7,2,1,10,1,4
434,2,2,0,1,0,0,0,0,4,1,1,5,5,5,5,4,4,5,4,4,2,1,0,0,0,1,0,33,8,4,5,2,3,8,1,1
435,2,"1, 2, 4, 5",1,1,0,1,1,0,1,2,1,5,3,1,5,3,4,4,5,4,1,1,1,0,0,,1,40,1,4,7,2,3,1,2,4
436,2,"1, 2, 5, 6",1,1,0,0,1,1,3,"1, 2, 3, 4",4,5,5,1,5,5,5,5,5,4,1,1,1,0,0,,0,27,10,5,5,2,1,10,1,1
437,3,"1, 2, 4, 5",1,1,0,1,1,0,1,"1, 2, 3",3,4,4,4,4,3,3,2,3,3,1,1,0,0,0,,0,28,8,4,3,1,1,13,1,1
438,2,"1, 2, 4",1,1,0,1,0,0,3,1,1,4,3,2,3,2,2,3,3,3,2,1,0,0,0,1,0,23,10,4,7,1,3,10,1,1
