,Unnamed: 0,Unnamed: 0.1,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty,age_group
145,145,145,146,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,0.8,4,3,4,0.6,3,0.4,3,3,1,1,0,0,0,0,0,40,11,0,5,2,4,11,3.0,1,0.80000001,0.73333335,0.51249999,0.0,1,0,0,0,medum
146,146,146,147,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"2, 3",2,1.0,5,3,5,0.8,3,0.6,4,4,1,1,1,0,0,0,0,37,11,5,4,4,1,13,1.0,1,0.77499998,0.85833335,0.61250001,0.25,1,0,0,0,medum
147,147,147,148,More than 3 Hours,"1, 4, 5",1,0,0,1,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,4,1,4,0.8,5,0.2,4,1,1,1,0,0,0,0,1,24,8,4,1,1,3,10,1.0,1,0.69999999,0.76666665,0.5625,0.0,1,0,0,0,young
148,148,148,149,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,5,5,5,0.8,4,1.0,2,1,1,1,1,0,0,0,1,32,13,5,6,2,1,10,1.0,4,1.0,0.93333334,0.41249999,0.25,0,0,0,1,medum
149,149,149,150,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,0.8,4,1,5,0.8,4,0.8,5,4,1,1,1,1,0,0,0,24,1,4,4,2,1,13,1.0,1,0.75,0.78333336,0.71249998,0.5,1,0,0,0,young
150,150,150,151,More than 3 Hours,"2, 3, 4, 5, 6",0,1,1,1,1,1,between 300-1000 friends,"2, 3, 4",3,0.8,5,3,4,1.0,4,0.8,3,3,1,1,1,0,0,0,0,19,8,0,1,1,1,8,1.0,1,0.78750002,0.86250001,0.5625,0.25,1,0,0,0,young
151,151,151,152,Between 1 Hour and 3 Hours,"2, 6",0,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,1.0,4,1,3,1.0,3,0.2,3,3,1,1,0,1,1,1,1,35,10,4,5,2,1,8,1.0,1,0.64999998,0.88333333,0.51249999,0.75,1,0,0,0,medum
152,152,152,153,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,2,1,1.0,4,4,5,0.4,4,0.2,2,4,3,1,1,0,0,1,0,26,10,5,5,2,1,10,1.0,1,0.71249998,0.70416665,0.5625,0.5,1,0,0,0,young
153,153,153,154,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,0.8,5,3,1,0.8,4,0.2,4,3,1,1,0,0,0,1,0,27,8,4,4,2,1,13,1.0,1,0.69999999,0.76666665,0.61250001,0.25,1,0,0,0,young
154,154,154,155,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,4,1,0.6,5,3,4,0.8,5,0.4,4,1,2,1,0,0,0,1,0,24,10,4,7,2,1,10,1.0,4,0.66250002,0.6875,0.5625,0.25,0,0,0,1,young
